age,work-class,occupation,sex,hours-pw,income-level
49, Private, Adm-clerical, Female,40, <=50K
25, Private, Handlers-cleaners, Male,35, <=50K
57, Federal-gov, Prof-specialty, Male,40, >50K
53, Private, Machine-op-inspct, Male,38, <=50K
44, Private, Exec-managerial, Female,40, <=50K
41, State-gov, Craft-repair, Male,40, <=50K
29, Private, Prof-specialty, Male,43, <=50K
25, Private, Exec-managerial, Female,40, <=50K
18, Private, Other-service, Female,30, <=50K
47, Private, Prof-specialty, Female,60, >50K
50, Federal-gov, Exec-managerial, Male,55, >50K
47, Self-emp-inc, Exec-managerial, Male,60, <=50K
43, Private, Tech-support, Male,40, >50K
46, Private, Machine-op-inspct, Male,40, <=50K
35, Private, Other-service, Male,40, <=50K
41, Private, Adm-clerical, Male,48, <=50K
30, Private, Machine-op-inspct, Male,40, <=50K
30, Private, Sales, Male,40, <=50K
48, Private, Transport-moving, Male,40, <=50K
42, Private, Prof-specialty, Male,45, >50K
29, Private, Tech-support, Male,58, <=50K
36, Private, Craft-repair, Male,40, <=50K
28, Private, Adm-clerical, Female,40, <=50K
53, Private, Adm-clerical, Female,40, >50K
49, Self-emp-inc, Exec-managerial, Male,50, >50K
19, Private, Prof-specialty, Male,32, <=50K
31, Private, Sales, Female,40, <=50K
29, Self-emp-not-inc, Sales, Male,70, >50K
23, Private, Machine-op-inspct, Male,40, <=50K
79, Private, Prof-specialty, Male,20, <=50K
27, Private, Other-service, Male,40, <=50K
40, Private, Adm-clerical, Male,40, <=50K
18, Private, Other-service, Female,22, <=50K
31, Local-gov, Farming-fishing, Male,40, <=50K
18, Private, Sales, Male,30, <=50K
52, Private, Other-service, Male,40, <=50K
46, Private, Other-service, Female,40, <=50K
59, Private, Sales, Male,48, <=50K
44, Private, Craft-repair, Female,40, >50K
53, Private, Sales, Female,35, <=50K
49, Local-gov, Protective-serv, Male,40, >50K
33, Private, Prof-specialty, Male,50, <=50K
30, Private, Sales, Male,40, <=50K
43, Federal-gov, Prof-specialty, Female,50, >50K
57, Private, Prof-specialty, Male,40, <=50K
37, Private, Craft-repair, Female,40, <=50K
28, Private, Machine-op-inspct, Female,25, <=50K
30, Private, Sales, Female,35, <=50K
34, Local-gov, Protective-serv, Male,40, >50K
29, Local-gov, Handlers-cleaners, Male,50, <=50K
48, Self-emp-not-inc, Prof-specialty, Male,60, >50K
37, Private, Sales, Male,48, >50K
48, Private, Exec-managerial, Female,40, <=50K
32, Federal-gov, Other-service, Male,40, <=50K
76, Private, Exec-managerial, Male,40, >50K
44, Private, Exec-managerial, Male,60, >50K
47, Self-emp-not-inc, Prof-specialty, Female,50, <=50K
20, Private, Tech-support, Female,40, <=50K
29, Private, Craft-repair, Male,40, <=50K
32, Self-emp-inc, Craft-repair, Male,40, >50K
30, Private, Handlers-cleaners, Male,40, <=50K
31, Local-gov, Adm-clerical, Female,40, <=50K
42, Private, Handlers-cleaners, Male,40, <=50K
24, Private, Sales, Male,40, <=50K
38, Private, Prof-specialty, Male,40, >50K
56, Self-emp-not-inc, Other-service, Male,50, >50K
28, Private, Sales, Female,25, <=50K
36, Private, Machine-op-inspct, Female,40, <=50K
53, Private, Handlers-cleaners, Male,50, <=50K
56, Self-emp-inc, Sales, Male,50, <=50K
49, Local-gov, Craft-repair, Male,40, >50K
55, Private, Sales, Male,56, <=50K
22, Private, Craft-repair, Male,41, <=50K
21, Private, Other-service, Female,40, <=50K
40, Private, Exec-managerial, Male,60, <=50K
30, Private, Exec-managerial, Male,40, <=50K
29, State-gov, Prof-specialty, Male,50, >50K
19, Private, Other-service, Male,35, <=50K
47, Private, Exec-managerial, Female,40, >50K
20, Private, Adm-clerical, Female,28, <=50K
31, Private, Adm-clerical, Male,40, >50K
39, Private, Craft-repair, Male,40, <=50K
28, Private, Sales, Female,60, <=50K
24, Private, Other-service, Female,40, <=50K
38, Self-emp-not-inc, Craft-repair, Male,35, <=50K
37, Private, Sales, Male,50, <=50K
46, Private, Tech-support, Female,36, <=50K
38, Federal-gov, Prof-specialty, Male,40, >50K
43, Self-emp-not-inc, Craft-repair, Male,60, <=50K
27, Private, Adm-clerical, Female,35, <=50K
20, Private, Sales, Male,20, <=50K
49, Private, Craft-repair, Male,40, >50K
61, Self-emp-inc, Craft-repair, Male,40, <=50K
27, Private, Sales, Female,40, <=50K
19, Private, Other-service, Male,30, <=50K
45, Private, Prof-specialty, Female,40, >50K
70, Private, Tech-support, Male,40, <=50K
31, Private, Transport-moving, Female,30, <=50K
22, Private, Other-service, Male,24, <=50K
36, Private, Other-service, Female,24, <=50K
64, Private, Craft-repair, Male,40, <=50K
47, Local-gov, Adm-clerical, Female,38, <=50K
34, Private, Adm-clerical, Female,40, <=50K
33, Private, Exec-managerial, Female,40, <=50K
21, Private, Craft-repair, Male,35, <=50K
48, Private, Craft-repair, Male,46, <=50K
23, Private, Handlers-cleaners, Male,40, <=50K
71, Self-emp-not-inc, Sales, Male,2, <=50K
29, Private, Craft-repair, Male,60, <=50K
42, Private, Other-service, Male,50, <=50K
25, Private, Other-service, Female,40, <=50K
44, Self-emp-inc, Exec-managerial, Female,40, <=50K
28, Private, Exec-managerial, Female,40, <=50K
45, Self-emp-not-inc, Sales, Male,40, >50K
36, Private, Other-service, Female,40, <=50K
39, Federal-gov, Exec-managerial, Male,42, <=50K
46, State-gov, Protective-serv, Male,40, <=50K
18, Private, Handlers-cleaners, Male,16, <=50K
66, Local-gov, Prof-specialty, Female,20, <=50K
27, Private, Other-service, Male,40, <=50K
28, State-gov, Protective-serv, Male,40, <=50K
51, Private, Sales, Male,40, >50K
27, Private, Craft-repair, Male,50, <=50K
28, State-gov, Prof-specialty, Male,40, >50K
27, Private, Sales, Female,25, <=50K
21, Private, Craft-repair, Male,40, <=50K
34, Private, Handlers-cleaners, Male,40, <=50K
18, Private, Other-service, Male,12, <=50K
33, Private, Prof-specialty, Male,65, <=50K
44, Local-gov, Exec-managerial, Male,38, >50K
43, Private, Adm-clerical, Female,40, <=50K
30, Private, Craft-repair, Male,45, <=50K
40, Private, Machine-op-inspct, Male,40, >50K
37, Federal-gov, Adm-clerical, Male,42, >50K
34, Private, Adm-clerical, Male,40, <=50K
41, Self-emp-not-inc, Exec-managerial, Female,40, <=50K
31, Private, Prof-specialty, Female,50, <=50K
58, State-gov, Prof-specialty, Male,1, >50K
38, Private, Machine-op-inspct, Female,28, <=50K
24, Private, Machine-op-inspct, Male,40, <=50K
41, Local-gov, Craft-repair, Male,40, <=50K
47, Private, Tech-support, Male,45, <=50K
41, Federal-gov, Tech-support, Male,24, <=50K
23, Private, Transport-moving, Male,40, <=50K
36, Private, Craft-repair, Male,40, <=50K
40, Federal-gov, Exec-managerial, Female,55, >50K
35, Private, Prof-specialty, Male,40, >50K
24, Self-emp-not-inc, Sales, Male,40, <=50K
26, Private, Prof-specialty, Female,40, <=50K
51, Private, Exec-managerial, Male,50, >50K
42, Local-gov, Prof-specialty, Female,40, <=50K
37, State-gov, Adm-clerical, Female,35, <=50K
18, Private, Sales, Female,40, <=50K
36, Private, Other-service, Male,36, >50K
35, Private, Craft-repair, Male,60, <=50K
58, Self-emp-inc, Sales, Female,35, >50K
17, Private, Sales, Female,12, <=50K
44, Local-gov, Transport-moving, Male,40, <=50K
37, Private, Craft-repair, Male,40, >50K
35, Private, Sales, Female,40, <=50K
60, Private, Craft-repair, Male,40, <=50K
54, Self-emp-inc, Machine-op-inspct, Male,40, >50K
37, Private, Exec-managerial, Male,60, >50K
50, Private, Sales, Female,40, <=50K
38, Private, Sales, Male,50, <=50K
45, Private, Prof-specialty, Male,55, <=50K
25, Private, Craft-repair, Male,40, <=50K
31, Private, Handlers-cleaners, Male,40, <=50K
90, Private, Other-service, Male,40, <=50K
54, Private, Adm-clerical, Male,20, <=50K
53, Local-gov, Machine-op-inspct, Female,35, <=50K
18, Private, Sales, Female,40, <=50K
66, Self-emp-not-inc, Farming-fishing, Male,50, <=50K
75, Private, Adm-clerical, Female,20, <=50K
65, Private, Adm-clerical, Female,40, <=50K
35, Private, Transport-moving, Male,40, <=50K
41, Private, Sales, Female,38, <=50K
25, Private, Adm-clerical, Male,42, <=50K
33, Private, Craft-repair, Female,40, <=50K
28, Private, Prof-specialty, Male,55, >50K
59, State-gov, Other-service, Male,40, <=50K
40, State-gov, Adm-clerical, Female,38, <=50K
41, Private, Exec-managerial, Male,50, >50K
38, Local-gov, Exec-managerial, Male,70, >50K
23, Private, Transport-moving, Male,40, <=50K
40, Private, Prof-specialty, Male,40, >50K
41, Self-emp-not-inc, Other-service, Female,20, <=50K
24, State-gov, Protective-serv, Male,50, <=50K
38, Private, Craft-repair, Male,40, <=50K
56, Private, Adm-clerical, Male,35, <=50K
58, Private, Adm-clerical, Male,45, >50K
32, Private, Other-service, Female,34, <=50K
40, Private, Tech-support, Male,60, >50K
45, Private, Adm-clerical, Male,40, <=50K
41, Private, Prof-specialty, Female,40, >50K
42, Private, Adm-clerical, Female,40, <=50K
59, Local-gov, Other-service, Female,30, <=50K
19, Local-gov, Adm-clerical, Male,40, <=50K
58, Private, Transport-moving, Male,20, <=50K
42, Self-emp-not-inc, Farming-fishing, Male,40, >50K
20, Private, Other-service, Female,40, <=50K
32, Private, Other-service, Female,30, <=50K
45, Private, Exec-managerial, Female,45, <=50K
50, Private, Craft-repair, Male,40, <=50K
36, Private, Prof-specialty, Female,40, <=50K
45, Private, Sales, Male,60, <=50K
17, Private, Other-service, Male,12, <=50K
59, Private, Sales, Male,40, <=50K
26, Private, Craft-repair, Male,40, <=50K
37, Self-emp-inc, Exec-managerial, Male,75, >50K
64, Private, Exec-managerial, Male,40, >50K
33, Private, Prof-specialty, Female,45, <=50K
33, Private, Craft-repair, Female,40, >50K
61, Private, Exec-managerial, Male,40, >50K
17, Private, Other-service, Male,24, <=50K
50, Self-emp-not-inc, Farming-fishing, Male,98, <=50K
27, Local-gov, Prof-specialty, Male,35, <=50K
30, Private, Prof-specialty, Female,40, <=50K
43, Private, Handlers-cleaners, Male,40, <=50K
44, Private, Craft-repair, Male,40, >50K
35, Private, Exec-managerial, Female,40, <=50K
25, Private, Tech-support, Female,40, <=50K
24, Private, Machine-op-inspct, Female,48, >50K
22, Private, Prof-specialty, Female,15, <=50K
42, Local-gov, Craft-repair, Male,40, >50K
34, Private, Sales, Female,45, <=50K
60, Private, Prof-specialty, Female,42, <=50K
21, Private, Handlers-cleaners, Male,40, <=50K
57, Federal-gov, Sales, Male,40, >50K
41, Private, Prof-specialty, Male,60, >50K
50, Private, Other-service, Male,45, <=50K
25, Private, Exec-managerial, Female,40, <=50K
50, Private, Craft-repair, Male,40, <=50K
36, Private, Prof-specialty, Male,45, <=50K
31, Private, Prof-specialty, Female,40, <=50K
29, Local-gov, Protective-serv, Male,56, <=50K
21, Private, Sales, Male,45, <=50K
27, Private, Tech-support, Female,40, <=50K
65, Private, Transport-moving, Male,16, <=50K
37, Self-emp-inc, Sales, Female,60, <=50K
24, Private, Craft-repair, Male,40, <=50K
38, Private, Sales, Male,80, <=50K
48, Private, Adm-clerical, Male,40, >50K
21, Private, Other-service, Female,25, <=50K
31, Private, Transport-moving, Male,45, >50K
55, Private, Sales, Male,40, >50K
24, Private, Adm-clerical, Female,40, <=50K
43, Private, Adm-clerical, Female,40, <=50K
26, Private, Tech-support, Male,45, <=50K
46, Private, Prof-specialty, Female,33, <=50K
35, Private, Adm-clerical, Male,40, >50K
41, Self-emp-inc, Farming-fishing, Male,54, >50K
26, Private, Sales, Male,40, <=50K
34, Private, Exec-managerial, Male,35, >50K
36, Self-emp-not-inc, Prof-specialty, Female,40, >50K
22, Private, Sales, Male,15, <=50K
24, Private, Machine-op-inspct, Male,40, <=50K
77, Self-emp-not-inc, Sales, Male,40, <=50K
22, Private, Machine-op-inspct, Female,40, <=50K
29, Private, Tech-support, Female,40, <=50K
62, Private, Other-service, Female,24, <=50K
39, Self-emp-not-inc, Exec-managerial, Male,40, <=50K
43, Private, Craft-repair, Male,50, <=50K
35, Private, Transport-moving, Male,45, <=50K
29, Private, Exec-managerial, Female,40, <=50K
76, Self-emp-not-inc, Craft-repair, Male,10, <=50K
63, Self-emp-not-inc, Farming-fishing, Male,45, <=50K
43, Private, Prof-specialty, Female,50, >50K
58, Self-emp-not-inc, Handlers-cleaners, Male,40, <=50K
66, Private, Transport-moving, Male,55, <=50K
41, Private, Craft-repair, Male,45, <=50K
26, Private, Adm-clerical, Male,40, <=50K
47, Private, Other-service, Male,40, <=50K
55, Local-gov, Adm-clerical, Male,40, <=50K
53, Private, Transport-moving, Male,40, <=50K
17, Private, Other-service, Male,48, <=50K
30, Private, Craft-repair, Male,40, <=50K
49, Private, Prof-specialty, Male,60, <=50K
19, Private, Sales, Male,30, <=50K
45, Private, Other-service, Male,40, <=50K
26, Private, Sales, Male,40, <=50K
38, Private, Craft-repair, Male,40, >50K
36, State-gov, Protective-serv, Male,40, >50K
33, Private, Farming-fishing, Male,20, <=50K
22, State-gov, Protective-serv, Female,40, <=50K
43, Self-emp-not-inc, Sales, Male,42, <=50K
56, Private, Other-service, Male,25, <=50K
31, Private, Prof-specialty, Male,25, <=50K
33, Private, Exec-managerial, Male,40, >50K
26, Private, Other-service, Male,40, <=50K
33, Private, Exec-managerial, Male,40, >50K
46, Local-gov, Transport-moving, Male,30, <=50K
38, Federal-gov, Adm-clerical, Male,40, >50K
65, Private, Other-service, Male,40, <=50K
40, Private, Tech-support, Male,40, >50K
42, Private, Adm-clerical, Female,35, <=50K
26, Self-emp-not-inc, Craft-repair, Male,40, <=50K
36, Private, Other-service, Female,24, <=50K
62, Private, Prof-specialty, Male,40, >50K
43, Private, Transport-moving, Male,45, <=50K
43, Private, Exec-managerial, Male,45, >50K
22, Private, Sales, Male,55, <=50K
28, Private, Craft-repair, Male,40, <=50K
56, Self-emp-not-inc, Sales, Male,45, <=50K
22, Private, Sales, Female,15, <=50K
57, Private, Exec-managerial, Female,45, >50K
39, Private, Sales, Female,40, <=50K
26, Federal-gov, Adm-clerical, Female,15, <=50K
17, Private, Other-service, Male,10, <=50K
40, State-gov, Machine-op-inspct, Male,38, >50K
45, Private, Machine-op-inspct, Male,40, <=50K
44, Private, Craft-repair, Male,40, <=50K
20, Local-gov, Adm-clerical, Female,10, <=50K
33, Private, Craft-repair, Female,40, <=50K
23, Private, Sales, Male,40, <=50K
46, Self-emp-not-inc, Exec-managerial, Male,30, <=50K
38, Private, Sales, Male,50, <=50K
54, Private, Transport-moving, Male,40, <=50K
46, Private, Craft-repair, Female,45, <=50K
25, Private, Craft-repair, Male,40, <=50K
46, Private, Sales, Female,40, <=50K
36, Local-gov, Transport-moving, Female,40, <=50K
23, Private, Other-service, Female,25, <=50K
29, Private, Machine-op-inspct, Male,40, <=50K
44, Private, Adm-clerical, Female,6, >50K
19, Private, Adm-clerical, Female,16, <=50K
19, Private, Other-service, Female,40, <=50K
35, Private, Other-service, Female,40, >50K
27, Private, Craft-repair, Male,50, <=50K
46, Self-emp-not-inc, Craft-repair, Male,40, <=50K
34, State-gov, Exec-managerial, Male,45, >50K
34, Private, Other-service, Female,35, <=50K
44, Private, Tech-support, Male,40, <=50K
45, Private, Handlers-cleaners, Female,40, <=50K
25, Private, Exec-managerial, Male,55, >50K
52, Self-emp-inc, Exec-managerial, Male,50, >50K
20, Private, Handlers-cleaners, Male,40, <=50K
28, Private, Other-service, Female,40, <=50K
50, State-gov, Protective-serv, Male,40, >50K
34, Private, Tech-support, Female,64, <=50K
28, Private, Handlers-cleaners, Male,40, <=50K
41, Private, Exec-managerial, Male,65, >50K
28, Private, Adm-clerical, Male,40, <=50K
46, Self-emp-not-inc, Craft-repair, Male,25, <=50K
32, Private, Exec-managerial, Male,50, <=50K
41, Local-gov, Other-service, Female,24, <=50K
24, Private, Handlers-cleaners, Female,40, <=50K
33, Private, Exec-managerial, Female,40, <=50K
46, Private, Exec-managerial, Male,60, >50K
31, State-gov, Machine-op-inspct, Male,40, <=50K
35, Private, Craft-repair, Male,50, >50K
52, Private, Machine-op-inspct, Male,40, <=50K
30, Private, Other-service, Female,19, <=50K
34, Local-gov, Machine-op-inspct, Male,40, <=50K
34, State-gov, Transport-moving, Female,40, <=50K
20, Private, Sales, Male,30, <=50K
17, Private, Handlers-cleaners, Male,18, <=50K
32, State-gov, Exec-managerial, Female,40, >50K
29, Private, Farming-fishing, Male,40, <=50K
33, Private, Craft-repair, Female,35, <=50K
25, Private, Transport-moving, Male,60, <=50K
36, Federal-gov, Prof-specialty, Male,40, <=50K
23, Private, Handlers-cleaners, Male,72, <=50K
63, Self-emp-inc, Exec-managerial, Male,40, >50K
47, Local-gov, Prof-specialty, Male,40, <=50K
40, Self-emp-not-inc, Prof-specialty, Female,40, <=50K
30, Private, Other-service, Female,25, >50K
27, Private, Craft-repair, Male,40, <=50K
33, Private, Prof-specialty, Male,50, >50K
34, Local-gov, Farming-fishing, Male,60, <=50K
34, Local-gov, Protective-serv, Female,40, <=50K
23, Private, Adm-clerical, Male,40, <=50K
42, Local-gov, Adm-clerical, Female,40, <=50K
29, Private, Prof-specialty, Male,40, <=50K
45, Private, Adm-clerical, Female,28, <=50K
24, Federal-gov, Armed-Forces, Male,40, <=50K
44, Private, Prof-specialty, Male,40, >50K
27, Private, Craft-repair, Male,40, <=50K
20, Private, Sales, Male,35, <=50K
44, Private, Exec-managerial, Female,40, <=50K
51, Private, Craft-repair, Male,40, <=50K
20, Private, Machine-op-inspct, Male,40, <=50K
19, Private, Machine-op-inspct, Female,40, <=50K
45, Self-emp-inc, Craft-repair, Male,55, >50K
60, Private, Craft-repair, Male,40, >50K
42, Private, Exec-managerial, Male,40, >50K
44, Self-emp-not-inc, Sales, Female,40, >50K
40, Private, Machine-op-inspct, Male,40, >50K
30, Private, Exec-managerial, Female,40, <=50K
38, Private, Transport-moving, Male,50, <=50K
23, Private, Transport-moving, Male,60, <=50K
44, Private, Farming-fishing, Male,40, <=50K
54, Local-gov, Transport-moving, Male,40, <=50K
32, Private, Prof-specialty, Male,50, <=50K
50, Private, Craft-repair, Male,40, <=50K
24, Private, Tech-support, Female,20, <=50K
37, Private, Adm-clerical, Female,60, <=50K
52, Private, Transport-moving, Male,40, <=50K
38, Private, Transport-moving, Male,40, <=50K
49, Private, Exec-managerial, Male,45, >50K
30, Private, Tech-support, Female,16, >50K
60, Private, Prof-specialty, Male,40, >50K
35, Private, Craft-repair, Male,40, <=50K
30, Private, Transport-moving, Male,60, <=50K
67, Private, Other-service, Female,24, <=50K
46, Private, Craft-repair, Female,40, <=50K
17, Private, Other-service, Male,6, <=50K
22, Private, Handlers-cleaners, Male,30, <=50K
27, Private, Other-service, Male,40, <=50K
23, Private, Other-service, Female,35, <=50K
33, Private, Craft-repair, Male,45, <=50K
43, Self-emp-not-inc, Craft-repair, Male,20, <=50K
28, State-gov, Prof-specialty, Male,20, <=50K
41, Private, Craft-repair, Female,40, <=50K
25, Private, Adm-clerical, Female,20, <=50K
59, Local-gov, Transport-moving, Male,45, <=50K
45, Local-gov, Prof-specialty, Female,40, <=50K
38, Private, Sales, Male,60, >50K
40, Private, Other-service, Female,35, <=50K
46, Federal-gov, Adm-clerical, Male,40, <=50K
35, Private, Exec-managerial, Female,60, <=50K
34, Private, Prof-specialty, Female,25, <=50K
33, Private, Craft-repair, Male,20, <=50K
41, Private, Adm-clerical, Female,36, <=50K
20, Private, Machine-op-inspct, Male,40, <=50K
23, Private, Other-service, Male,40, <=50K
26, Private, Prof-specialty, Female,35, <=50K
23, Local-gov, Farming-fishing, Male,40, <=50K
62, Local-gov, Transport-moving, Male,40, <=50K
52, Private, Adm-clerical, Male,40, <=50K
58, Private, Other-service, Female,42, <=50K
25, Private, Sales, Female,40, <=50K
24, Private, Exec-managerial, Male,40, <=50K
19, Private, Protective-serv, Male,8, <=50K
43, Private, Exec-managerial, Male,40, <=50K
47, Local-gov, Adm-clerical, Female,40, <=50K
39, Private, Other-service, Female,40, <=50K
49, Private, Handlers-cleaners, Male,42, <=50K
32, Private, Craft-repair, Male,45, <=50K
34, Private, Prof-specialty, Male,50, >50K
28, Private, Craft-repair, Male,45, <=50K
25, Private, Adm-clerical, Female,20, <=50K
34, Private, Prof-specialty, Male,50, >50K
38, Self-emp-inc, Exec-managerial, Male,80, >50K
50, Private, Exec-managerial, Male,50, >50K
24, Local-gov, Handlers-cleaners, Male,50, <=50K
37, Local-gov, Tech-support, Male,45, >50K
44, Private, Machine-op-inspct, Male,58, >50K
28, Private, Sales, Female,40, <=50K
42, Private, Exec-managerial, Male,40, >50K
74, Private, Adm-clerical, Female,9, <=50K
38, Self-emp-not-inc, Craft-repair, Male,50, <=50K
44, Self-emp-not-inc, Prof-specialty, Male,40, <=50K
44, Private, Machine-op-inspct, Female,46, <=50K
26, Private, Machine-op-inspct, Male,40, <=50K
36, Private, Other-service, Male,40, <=50K
41, Private, Exec-managerial, Female,50, >50K
67, Private, Prof-specialty, Male,48, >50K
39, Local-gov, Tech-support, Male,50, <=50K
57, Private, Priv-house-serv, Female,30, <=50K
29, Private, Craft-repair, Male,40, <=50K
31, Self-emp-inc, Farming-fishing, Female,45, <=50K
44, Private, Transport-moving, Male,40, <=50K
29, Private, Prof-specialty, Male,40, <=50K
30, Private, Handlers-cleaners, Female,40, <=50K
27, Private, Transport-moving, Male,40, <=50K
27, Private, Sales, Male,50, <=50K
32, Private, Handlers-cleaners, Female,45, <=50K
58, Private, Other-service, Female,8, <=50K
35, Local-gov, Protective-serv, Male,40, <=50K
21, Private, Handlers-cleaners, Male,36, <=50K
28, Private, Craft-repair, Male,40, <=50K
46, Self-emp-not-inc, Exec-managerial, Male,50, <=50K
36, Self-emp-not-inc, Other-service, Female,40, <=50K
72, Private, Adm-clerical, Female,40, <=50K
35, Private, Machine-op-inspct, Female,40, <=50K
33, Federal-gov, Craft-repair, Female,40, >50K
69, Private, Machine-op-inspct, Female,40, <=50K
35, Private, Machine-op-inspct, Male,40, <=50K
31, Private, Adm-clerical, Female,20, <=50K
34, Private, Tech-support, Female,32, <=50K
30, Private, Other-service, Male,40, <=50K
28, Private, Transport-moving, Male,55, <=50K
54, Private, Sales, Male,35, >50K
47, Private, Prof-specialty, Male,50, >50K
24, Private, Handlers-cleaners, Female,40, <=50K
52, Self-emp-not-inc, Prof-specialty, Male,60, >50K
20, Private, Handlers-cleaners, Male,48, <=50K
43, Self-emp-inc, Exec-managerial, Male,45, <=50K
45, Private, Other-service, Female,40, <=50K
29, Self-emp-not-inc, Craft-repair, Male,35, <=50K
47, Private, Exec-managerial, Male,42, <=50K
24, Private, Craft-repair, Male,40, <=50K
51, Private, Prof-specialty, Male,40, <=50K
17, Private, Sales, Male,12, <=50K
37, Private, Craft-repair, Male,40, >50K
27, Private, Prof-specialty, Female,70, <=50K
29, Private, Exec-managerial, Male,40, >50K
36, Self-emp-not-inc, Sales, Female,35, <=50K
58, Local-gov, Prof-specialty, Female,40, <=50K
26, Self-emp-not-inc, Craft-repair, Male,45, <=50K
57, Private, Sales, Male,40, >50K
59, Private, Craft-repair, Male,40, <=50K
27, Private, Machine-op-inspct, Male,40, <=50K
31, Self-emp-not-inc, Tech-support, Male,40, <=50K
21, Private, Sales, Female,24, <=50K
29, Private, Adm-clerical, Male,60, <=50K
18, Private, Other-service, Male,40, <=50K
52, Private, Craft-repair, Male,47, >50K
57, Self-emp-inc, Prof-specialty, Male,80, <=50K
60, Private, Transport-moving, Male,48, >50K
31, Private, Prof-specialty, Male,40, >50K
23, Private, Adm-clerical, Female,40, <=50K
27, Private, Sales, Male,40, <=50K
42, Self-emp-not-inc, Prof-specialty, Male,50, >50K
25, Private, Tech-support, Male,40, <=50K
49, Private, Prof-specialty, Female,45, <=50K
32, Private, Tech-support, Male,40, <=50K
19, Private, Adm-clerical, Male,28, <=50K
60, Private, Other-service, Female,40, <=50K
42, Local-gov, Other-service, Male,40, <=50K
35, Self-emp-not-inc, Farming-fishing, Male,40, <=50K
48, Private, Adm-clerical, Female,37, <=50K
51, Private, Craft-repair, Male,40, >50K
29, Private, Craft-repair, Male,40, <=50K
36, Local-gov, Exec-managerial, Male,40, <=50K
17, Private, Other-service, Female,21, <=50K
52, Private, Prof-specialty, Female,60, <=50K
24, Private, Craft-repair, Male,40, <=50K
24, Private, Handlers-cleaners, Male,50, <=50K
26, Local-gov, Prof-specialty, Male,40, <=50K
27, Private, Other-service, Female,20, <=50K
39, Private, Handlers-cleaners, Male,60, <=50K
30, Private, Transport-moving, Male,45, <=50K
50, Self-emp-not-inc, Exec-managerial, Male,32, <=50K
52, Self-emp-inc, Sales, Male,55, <=50K
46, Private, Prof-specialty, Male,45, >50K
23, Private, Sales, Female,20, <=50K
45, Private, Other-service, Female,20, <=50K
65, Private, Priv-house-serv, Female,24, <=50K
29, Private, Transport-moving, Male,55, <=50K
47, Private, Handlers-cleaners, Male,40, <=50K
30, Private, Farming-fishing, Male,60, <=50K
34, Private, Sales, Male,45, >50K
38, Self-emp-not-inc, Sales, Male,64, <=50K
33, Private, Exec-managerial, Male,40, >50K
49, Private, Sales, Male,26, >50K
47, Self-emp-not-inc, Other-service, Female,40, <=50K
49, Local-gov, Other-service, Female,40, <=50K
43, Private, Craft-repair, Male,60, >50K
30, Private, Adm-clerical, Female,40, >50K
58, Self-emp-not-inc, Craft-repair, Male,60, <=50K
19, Private, Other-service, Female,14, <=50K
21, Private, Handlers-cleaners, Male,40, <=50K
33, Private, Exec-managerial, Male,60, >50K
47, Self-emp-inc, Transport-moving, Male,50, <=50K
52, Self-emp-not-inc, Prof-specialty, Male,60, >50K
26, Private, Craft-repair, Male,55, <=50K
60, Private, Craft-repair, Male,40, <=50K
21, Private, Handlers-cleaners, Male,40, <=50K
36, Private, Sales, Male,50, >50K
